OpenTime,Open,High,Low,Close,Volume
1624667160000,283.03000000,283.60000000,282.45000000,283.06000000,26.65000000
1624667220000,282.96000000,283.56000000,282.45000000,283.47000000,31.96000000
1624667280000,283.44000000,283.94000000,282.45000000,283.73000000,26.65000000
1624667340000,283.57000000,283.96000000,259.08000000,268.33000000,227.84000000
1624667400000,268.33000000,284.33000000,265.66000000,284.33000000,75.31000000
1624667460000,284.42000000,286.31000000,284.40000000,285.94000000,31.63000000
1624667520000,285.97000000,286.28000000,285.66000000,285.76000000,35.01000000
1624667580000,285.43000000,285.89000000,285.05000000,285.77000000,31.57000000
1624667640000,285.11000000,285.89000000,285.06000000,285.89000000,29.90000000
1624667700000,285.27000000,285.27000000,284.79000000,285.20000000,26.40000000
1624667760000,285.15000000,285.15000000,284.41000000,284.41000000,27.33000000
1624667820000,284.63000000,285.19000000,284.10000000,284.20000000,43.17000000
1624667880000,284.12000000,284.86000000,283.78000000,283.79000000,45.04000000
1624667940000,283.88000000,284.92000000,283.71000000,284.52000000,62.38000000
1624668000000,284.21000000,285.22000000,284.21000000,285.22000000,29.92000000
1624668060000,284.75000000,285.22000000,284.20000000,285.22000000,35.20000000
1624668120000,285.07000000,285.47000000,284.78000000,285.47000000,29.92000000
1624668180000,285.45000000,285.80000000,285.07000000,285.22000000,19.34000000
1624668240000,285.18000000,285.67000000,285.18000000,285.65000000,33.42000000
1624668300000,285.39000000,286.14000000,285.39000000,285.94000000,33.27000000
1624668360000,285.98000000,286.41000000,285.86000000,286.41000000,35.01000000
1624668420000,286.53000000,326.28000000,286.37000000,296.63000000,252.19000000
1624668480000,296.63000000,298.13000000,286.05000000,286.36000000,86.58000000
1624668540000,286.36000000,286.36000000,286.07000000,286.36000000,71.99000000
1624668600000,286.36000000,286.36000000,285.78000000,285.81000000,47.25000000
1624668660000,285.79000000,285.92000000,285.71000000,285.75000000,36.27000000
1624668720000,285.72000000,285.72000000,285.32000000,285.32000000,26.35000000
1624668780000,285.33000000,285.33000000,284.89000000,284.89000000,48.89000000
1624668840000,284.61000000,285.48000000,284.47000000,285.41000000,47.55000000
1624668900000,285.50000000,285.50000000,284.48000000,284.48000000,22.80000000
1624668960000,284.61000000,285.01000000,284.58000000,284.63000000,31.10000000
1624669020000,284.68000000,285.19000000,284.68000000,285.04000000,42.24000000
1624669080000,285.05000000,285.33000000,285.05000000,285.17000000,42.24000000
1624669140000,285.17000000,285.61000000,285.08000000,285.61000000,49.94000000
1624669200000,285.69000000,286.36000000,285.69000000,286.36000000,104.84000000
1624669260000,286.31000000,313.45000000,285.85000000,305.69000000,212.53000000
1624669320000,305.69000000,308.77000000,285.50000000,285.50000000,98.24000000
1624669380000,285.50000000,286.55000000,285.10000000,285.55000000,61.95000000
1624669440000,285.61000000,285.71000000,285.18000000,285.65000000,36.10000000
1624669500000,285.39000000,285.53000000,285.32000000,285.32000000,28.96000000
1624669560000,285.55000000,285.87000000,285.20000000,285.25000000,37.04000000
1624669620000,285.24000000,285.34000000,284.75000000,284.75000000,65.12000000
1624669680000,284.75000000,285.07000000,272.39000000,284.94000000,239.56000000
1624669740000,284.95000000,285.33000000,284.81000000,285.25000000,41.10000000
1624669800000,285.26000000,285.89000000,284.41000000,284.41000000,58.04000000
1624669860000,284.35000000,284.35000000,283.70000000,283.78000000,48.55000000
1624669920000,283.68000000,284.50000000,283.68000000,284.36000000,45.41000000
1624669980000,284.14000000,284.50000000,284.14000000,284.14000000,43.88000000
1624670040000,283.81000000,284.13000000,283.81000000,284.04000000,33.57000000
1624670100000,283.80000000,284.47000000,283.69000000,284.47000000,24.73000000
1624670160000,284.45000000,284.68000000,284.26000000,284.68000000,34.17000000
1624670220000,284.48000000,284.67000000,284.19000000,284.25000000,40.48000000
1624670280000,284.19000000,284.32000000,283.79000000,283.80000000,19.38000000
1624670340000,283.88000000,284.00000000,283.49000000,283.49000000,28.31000000
1624670400000,283.49000000,283.49000000,283.20000000,283.20000000,43.15000000
1624670460000,282.95000000,282.98000000,282.82000000,282.82000000,43.13000000
1624670520000,282.58000000,282.99000000,282.47000000,282.49000000,19.47000000
1624670580000,282.42000000,282.54000000,282.01000000,282.32000000,38.86000000
1624670640000,282.35000000,282.35000000,281.92000000,282.11000000,21.45000000
1624670700000,282.21000000,282.56000000,282.15000000,282.15000000,24.88000000
1624670760000,281.78000000,282.28000000,281.74000000,282.02000000,35.60000000
1624670820000,281.77000000,282.21000000,281.77000000,281.98000000,33.87000000
1624670880000,281.55000000,286.12000000,281.55000000,281.78000000,223.89000000
1624670940000,281.59000000,281.86000000,281.52000000,281.86000000,24.92000000
1624671000000,281.27000000,282.00000000,281.27000000,281.74000000,39.16000000
1624671060000,281.71000000,281.82000000,281.36000000,281.50000000,24.92000000
1624671120000,281.53000000,281.69000000,281.34000000,281.34000000,35.60000000
1624671180000,281.10000000,281.22000000,280.88000000,281.17000000,30.30000000
1624671240000,280.89000000,280.93000000,280.43000000,280.50000000,21.44000000
1624671300000,280.41000000,280.44000000,280.06000000,280.44000000,34.01000000
1624671360000,280.40000000,281.00000000,280.40000000,280.82000000,30.40000000
1624671420000,280.81000000,281.05000000,280.20000000,280.27000000,25.03000000
1624671480000,280.08000000,280.35000000,279.83000000,279.83000000,17.99000000
1624671540000,280.02000000,280.02000000,279.49000000,279.63000000,30.43000000
1624671600000,279.70000000,279.71000000,279.28000000,279.71000000,28.64000000
1624671660000,279.34000000,279.77000000,245.19000000,250.15000000,199.26000000
1624671720000,250.15000000,275.14000000,250.15000000,275.14000000,107.73000000
1624671780000,275.14000000,279.68000000,275.14000000,279.65000000,42.48000000
1624671840000,279.46000000,280.72000000,279.28000000,279.75000000,39.46000000
1624671900000,279.99000000,296.63000000,279.32000000,279.32000000,254.67000000
1624671960000,279.32000000,279.72000000,279.11000000,279.38000000,72.22000000
1624672020000,279.42000000,279.72000000,279.39000000,279.72000000,110.61000000
1624672080000,279.72000000,292.20000000,279.43000000,279.43000000,268.29000000
1624672140000,279.42000000,280.26000000,279.32000000,280.26000000,55.66000000
1624672200000,280.26000000,280.26000000,279.69000000,280.26000000,48.42000000
1624672260000,280.26000000,280.88000000,280.25000000,280.80000000,44.37000000
1624672320000,280.78000000,281.16000000,280.78000000,281.11000000,30.29000000
1624672380000,281.17000000,281.25000000,280.64000000,280.85000000,23.23000000
1624672440000,280.91000000,281.91000000,280.91000000,281.61000000,39.16000000
1624672500000,281.72000000,281.95000000,281.57000000,281.95000000,28.48000000
1624672560000,282.09000000,282.41000000,282.09000000,282.22000000,33.81000000
1624672620000,282.22000000,282.99000000,282.22000000,282.99000000,38.98000000
1624672680000,282.95000000,283.32000000,282.95000000,283.28000000,24.78000000
